level,traditional,pinyin,pos
3,旅行,lǚxíng,Vi / N
3,飯店,fàndiàn,N
3,旅館,lǚguăn,N
3,袋子,dàizi,N
3,參觀,cānguān,V
3,地圖,dìtú,N
3,照相機/相機,zhàoxiàngjī/xiàngjī,N
3,照相,zhàoxiàng,V-sep
3,照片/相片/相片兒,zhàopiàn/xiàngpiàn/xiàngpiànr,N
3,風景,fēngjĭng,N
3,南/南部,nán/nánbù,N
3,西/西部,xī/ xībù,N
3,北/北部,běi/běibù,N
3,東/東部,dōng/dōngbù,N
3,中間,zhōngjiān,N
3,離,lí,Prep
3,離開,líkāi,Vp
3,經過,jīngguò,V
3,往,wăng,Prep
3,送,sòng,V
3,放,fàng,V
3,近,jìn,Vs
3,遠,yuăn,Vs
3,向,xiàng,Prep
3,轉,zhuăn,V
3,掉,diào,Vpt
3,一直,yīzhí,Adv
3,最後,zuìhòu,N
3,病人,bìngrén,N
3,頭髮/髮,tóufă/fă,N
3,手指(頭)/指頭,shŏuzhĭ(tou)/zhĭtou,N
3,肚(子),dù(zi),N
3,臉,liăn,N
3,心,xīn,N
3,健康,jiànkāng,Vs / N
3,渴,kě,Vs
3,舒服(˙ㄈㄨ),shūfu,Vs
3,眼鏡,yănjìng,N
3,賣,mài,V
3,付,fù,V
3,希望,xīwàng,Vst
3,書店,shūdiàn,N
3,商店,shāngdiàn,N
3,市場,shìchăng,N
3,超級市場/超市,chāojíshìchăng/chāoshì,N
3,信用卡,xìnyòngkă,N
3,重要,zhòngyào,Vs
3,顏色,yánsè,N
3,黃色,huángsè,N
3,白色,báisè,N
3,手錶/手表/錶/表,shŏubiăo/biăo,N
3,襪(子),wà(zi),N
3,雙,shuāng,M
3,裙(子),qún(zi),N
3,褲(子),kù(zi),N
3,大衣,dàyī,N
3,帽(子),mào(zi),N
3,皮包,píbāo,N
3,外套,wàitào,N
3,小心,xiăoxīn,Vs
3,比較/較,bĭjiào/jiào,Adv
3,差不多,chabùduō,Vs / Adv
3,戴,dài,V
3,試,shì,V
3,輕,qīng,Vs
3,重,zhòng,Vs
3,樣子,yàngzi,N
3,特別,tèbié,Vs
3,簡單,jiăndān,Vs
3,其他/其它,qítā,Det
3,聲音/聲,shēngyīn,N
3,好像,hăoxiàng,Adv
3,奇怪,qíguài,Vs
3,三明治,sānmíngzhì,N
3,漢堡,hànbăo,N
3,蘋果,píngguŏ,N
3,西瓜,xīguā,N
3,啤酒,píjiŭ,N
3,紅茶,hóngchá,N
3,點心,diănxīn,N
3,冰淇淋,bīngqílín,N
3,青菜,qīngcài,N
3,糖,táng,N
3,叉(子),chā(zi),N
3,刀(子),dāo(zi),N
3,湯匙,tāngchí,N
3,盤/盤(子),pán(zi),M / N
3,片,piàn,M
3,瓶/瓶(子),píng(zi),M / N
3,支,zhī,M
3,份,fèn,M
3,道,dào,M
3,一半/一半兒,yībàn/yībànr,Det
3,味道,wèidào,N
3,酸,suān,Vs
3,苦,kŭ,Vs
3,鹹,xián,Vs
3,辣,là,Vs
3,香,xiāng,Vs
3,條,tiáo,M
3,種,zhŏng,M
3,包,bāo,M
3,全部,quánbù,Det
3,所有,suŏyŏu,Det
3,需要,xūyào,Vst
3,烤,kăo,V
3,過,guò,V
3,但是/但,dànshì/dàn,Conj
3,或是,huòshì,Conj
3,要是,yàoshì,Conj
3,把,bă,Ptc
3,被,bèi,Ptc
3,讓,ràng,Ptc
3,雖然,suīrán,Conj
3,那麼,nàme,Adv
3,這麼,zhème,Adv
3,本來,běnlái,Adv
3,啦,la,Ptc
3,呀,yā,Ptc
3,以為,yĭwéi,V
3,有的,yŏude,Det
3,替,tì,Prep
3,一下(子)/一下子兒,yīxià(zi)/yīxiàzir,N
3,不過,bùguò,Adv / Conj
3,地,de,Ptc
4,出生,chūshēng,Vp
4,不同,bùtóng,Vs
4,住址,zhùzhĭ,N
4,母語,mǔyǔ,N
4,表,biăo,N
4,鐘,zhōng,M
4,鐘/時鐘,zhōng/shízhōng,N
4,傳真,chuánzhēn,N
4,白天(˙ㄊㄧㄢ),báitian,N
4,半夜,bànyè,N
4,夜晚,yèwăn,N
4,日子,rìzi,N
4,夜,yè,N
4,春季,chūnjì,N
4,時,shí,N
4,不久,bùjiŭ,N
4,剛才,gāngcái,Adv
4,早點,zăodiăn,Adv
